OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
23225,1999,CA,CDF,BTU,MUSTY,00008600,1999/08/23 00:00:00+00,,,16757.04882813,1,115152638.797763,71790.4688225023
23934,1999,CA,CDF,BTU,DOE MILL,00008187,1999/08/23 00:00:00+00,,,10856.75,1,74428803.9817552,87334.6477370835
24019,1990,CA,CCO,VNC,LOS PADRES,00000000,1990/09/01 00:00:00+00,,,20539.8359375,1,122526153.370432,56066.5123110156
24711,1997,CA,USF,LPF,HOPPER,00000000,1997/08/05 00:00:00+00,1997/08/13 00:00:00+00,24797,24797.38476563,1,148021052.057081,68077.4998400955
24715,1997,CA,USF,SQF,JACKS,00000000,1997/08/08 00:00:00+00,1997/08/18 00:00:00+00,5693,5747.02441406,1,35274348.4379614,44517.6190678666
25247,1999,CA,USF,SHF,ONION,00000000,1999/08/23 00:00:00+00,1999/09/01 00:00:00+00,15949,15960.95117188,1,113110397.969324,75485.1892311362
25248,1999,CA,USF,SHF,MEGRAM,00000000,1999/08/23 00:00:00+00,1999/11/03 00:00:00+00,124898,125072.53125,1,890762195.262679,283777.760687575
25254,1999,CA,CDF,LNU,SIXTEEN,00006445,1999/10/16 00:00:00+00,,,37893.109375,1,252864307.770305,126839.723628678
26613,1994,CA,USF,KNF,SPECIMEN,00000000,1994/09/18 00:00:00+00,1994/10/12 00:00:00+00,7015,8378.06054688,1,60247925.613474,38697.745420634
27154,1992,CA,CDF,TCU,MOCASSIN,00003985,1992/08/01 00:00:00+00,,,9458.4609375,1,61475270.237023,47713.5494706418
27157,1991,CA,CDF,LNU,GEYSERS FIRE,00000963,1991/10/20 00:00:00+00,,,5770.71826172,1,38468800.7980566,37099.2717290651
27459,1998,CA,CDF,RRU,JUNIPER,00048705,1998/08/31 00:00:00+00,,,5977.07568359,1,35093505.3602703,27732.29753919
27465,1992,CA,CDF,BTU,BURTON,00006428,1992/09/25 00:00:00+00,,,5914.50976563,1,40454626.2922837,37454.6520804822
27625,1996,CA,BLM,BBD,SKYLINE,00000000,1996/04/27 00:00:00+00,1996/04/27 00:00:00+00,19839,20567.9140625,1,127436077.395766,59105.205043901
27626,1996,CA,BLM,BBD,PANOCHE II,00000000,1996/04/27 00:00:00+00,1996/04/28 00:00:00+00,18340,7931.95458984,1,49880114.3545233,40864.9841441165
27653,1996,CA,CDF,AEU,SCOTT,00002866,1996/08/02 00:00:00+00,,,8827.95800781,1,58510826.592995,45363.8769917189
27798,1996,CA,CDF,FKU,TRIMMER 2,00032476,1996/08/17 00:00:00+00,1996/08/19 00:00:00+00,5607,6147.72851563,1,38969495.4619102,34944.3024140239
27925,1999,CA,CDF,MVU,LA JOLLA,00000000,1999/10/07 00:00:00+00,,,7845.93994141,1,45545925.0493438,39017.2798833905
