OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
21945,2007,CA,CCO,LAC,OCTOBER,00246393,2007/10/21 00:00:00+00,2007/10/23 00:00:00+00,,25.73671341,1,153290.074729065,2305.2584078846
21946,2007,CA,CCO,LAC,MAGIC,00233077,2007/10/22 00:00:00+00,2007/10/25 00:00:00+00,,2824.87719727,1,16834546.7684094,24761.5896440013
21947,2007,CA,USF,ANF,RANCH,00000166,2007/10/20 00:00:00+00,2007/11/15 00:00:00+00,54716,58410.3359375,1,348868467.174829,205467.427787056
21948,2007,CA,CCO,LAC,EMMA,00201384,2007/09/11 00:00:00+00,2007/09/11 00:00:00+00,,172.21495056,1,1028760.84878282,7431.46791380005
21949,2007,CA,CCO,LAC,CORRAL,00259483,2007/11/24 00:00:00+00,2007/11/27 00:00:00+00,,4707.99707031,1,27826958.3735735,27685.1718361689
21950,2007,CA,CCO,LAC,GORMAN,00109398,2007/05/19 00:00:00+00,2007/05/22 00:00:00+00,,2373.8449707,1,14266522.2780644,24006.6815147436
21951,2007,CA,CCO,LAC,WEST,00148311,2007/07/07 00:00:00+00,2007/07/08 00:00:00+00,,245.23396301,1,1474671.3984009,7170.58390706532
21952,2007,CA,CCO,LAC,PEARBLOSSOM,00177427,2007/08/13 00:00:00+00,2007/08/14 00:00:00+00,,81.03350067,1,484113.800950585,5011.16501911918
21953,2007,CA,CCO,LAC,SKYLINE,00183643,2007/08/21 00:00:00+00,2007/08/23 00:00:00+00,,95.41855621,1,563161.4241437,4332.95259917989
21954,2007,CA,CCO,LAC,SESNON,00231876,2007/10/21 00:00:00+00,2007/10/21 00:00:00+00,,30.3014183,1,180152.7346346,2032.10677888377
21955,2007,CA,CCO,LAC,SOLEDAD,00233414,2007/10/22 00:00:00+00,2007/10/23 00:00:00+00,,44.16777039,1,263363.345099275,2494.111800022
21956,2007,CA,CCO,LAC,Y,00233912,2007/10/23 00:00:00+00,,,22.49172974,1,134216.59435523,2016.15607242089
21957,2007,CA,CDF,MVU,ANGEL 3,00009233,2007/09/15 00:00:00+00,2007/09/25 00:00:00+00,837,832.12652588,1,4810452.81118064,21415.5212885445
21958,2007,CA,CDF,MVU,BANNER,00006310,2007/07/01 00:00:00+00,2007/07/03 00:00:00+00,,95.15126038,1,549988.74667496,4168.64423770959
21959,2007,CA,CDF,HUU,CHAMBERS,00003235,2007/07/27 00:00:00+00,2007/07/29 00:00:00+00,55,54.69635773,1,381184.896298105,3979.70585917291
21960,2007,CA,CDF,HUU,BROWN,00002877,2007/07/08 00:00:00+00,2007/07/08 00:00:00+00,20,18.73177338,1,130405.313152265,1928.59436469555
21961,2007,CA,CDF,HUU,DRIFTWOOD,00004908,2007/10/25 00:00:00+00,2007/11/05 00:00:00+00,70,52.9729538,1,367702.325183275,5700.44568842905
21962,2007,CA,CDF,HUU,CAPPEL,00004049,2007/09/05 00:00:00+00,2007/09/11 00:00:00+00,20,12.89414597,1,92464.01302323,2137.55386193382
21963,2007,CA,CCO,KRN,MOUNTAIN,00717959,2007/07/19 00:00:00+00,2007/07/19 00:00:00+00,840.56,840.55828857,1,5111543.72059511,12536.527666162
21964,2007,CA,CCO,KRN,WHITE,00018055,2007/06/24 00:00:00+00,2007/06/29 00:00:00+00,12432.15,12432.16015625,1,75126103.1721558,51597.6933116908
21965,2007,CA,USF,KRN,WOFFORD,00000000,2007/05/09 00:00:00+00,2007/05/13 00:00:00+00,567,567.456604,1,3492952.34254478,8824.77670904753
21966,2007,CA,CCO,LAC,PEARBLOSSOM,00080271,2007/04/12 00:00:00+00,2007/04/13 00:00:00+00,77,77.80277252,1,464902.29866675,6286.10996820674
21967,2007,CA,CCO,LAC,ISLAND,00102481,2007/05/10 00:00:00+00,2007/05/17 00:00:00+00,4750,4722.96582031,1,27470950.2427913,36823.8808184182
21968,2007,CA,CCO,LAC,CANYON,00148415,2007/07/07 00:00:00+00,,743,743.47991943,1,4437599.60623251,14944.9189727048
21969,2007,CA,CCO,LAC,FAIRMONT,00193853,2007/09/01 00:00:00+00,2007/09/08 00:00:00+00,211,211.62194824,1,1269857.5464681,5769.2130474797
21970,2007,CA,CDF,FKU,AUBERRY,00009400,2007/08/28 00:00:00+00,2007/09/03 00:00:00+00,150,150.93606567,1,961143.993137705,4142.71973920996
21971,2007,CA,CDF,FKU,GATOS,00009688,2007/09/02 00:00:00+00,2007/09/05 00:00:00+00,100,83.05220032,1,517725.616689385,2853.62191713512
21972,2007,CA,LRA,MVU,CORONADO HILLS,00010492,2007/10/22 00:00:00+00,,,58.7947464,1,340145.01262713,2153.98630662811
21973,2007,CA,CCO,LAC,MEADOW RIDGE,00233523,2007/10/23 00:00:00+00,2007/10/25 00:00:00+00,,39.1084671,1,232823.720245945,4091.65286380057
21974,2007,CA,CDF,MMU,HIGHWAY 41/ RD 209 3,00005998,2007/05/20 00:00:00+00,,,329.08093262,1,2093897.36531803,6734.22729165169
21975,2007,CA,BLM,MVU,BORDER #34,00009128,2007/09/12 00:00:00+00,2007/09/16 00:00:00+00,,109.22460938,1,624465.60921212,3614.80464539436
21976,2007,CA,LRA,MVU,78 #4,00006655,2007/07/09 00:00:00+00,2007/07/10 00:00:00+00,70,99.97422028,1,577869.0675534,4209.90128200571
21977,2007,CA,CDF,MVU,BORDER #25,00006524,2007/07/06 00:00:00+00,2007/07/07 00:00:00+00,50,136.20993042,1,779717.48878852,4353.41720654872
21978,2007,CA,CDF,MVU,VUELTA,00005764,2007/06/16 00:00:00+00,2007/06/18 00:00:00+00,120,214.81335449,1,1247983.09565353,7446.89090358639
21979,2007,CA,CDF,LMU,WILLOW,00003020,2007/07/06 00:00:00+00,2007/07/17 00:00:00+00,75,73.36000824,2,522675.28105129,4141.9411218911
21980,2007,CA,CDF,LMU,LOOKOUT,00004945,2007/10/02 00:00:00+00,2007/10/03 00:00:00+00,64,64.5118103,1,462688.12673616,4456.58392796547
21981,2007,CA,CDF,LMU,PINE,00002692,2007/06/23 00:00:00+00,2007/07/29 00:00:00+00,314,481.7800293,1,3362512.7572675,7720.93470563198
21982,2007,CA,CDF,LMU,ISLAND,00002269,2007/06/01 00:00:00+00,2007/06/04 00:00:00+00,518,517.56292725,1,3592835.23551191,10441.9413875493
21983,2007,CA,CDF,LNU,HWY 128,00005933,2007/08/14 00:00:00+00,2007/08/15 00:00:00+00,368,508.35110474,1,3364521.11674818,7855.39100601844
21984,2007,CA,CDF,LNU,PEAK,00004843,2007/07/11 00:00:00+00,2007/07/11 00:00:00+00,60,46.32199097,1,305474.591213325,3433.48877698212
21985,2007,CA,CDF,LNU,MOUNTAIN,00004247,2007/06/24 00:00:00+00,2007/06/27 00:00:00+00,45,49.27823639,1,326772.23655913,2323.62117327368
21986,2007,CA,CDF,LNU,SPRUCE,00004982,2007/07/15 00:00:00+00,2007/07/15 00:00:00+00,,129.01109314,1,861916.53243728,5194.01436560836
21987,2007,CA,CDF,LNU,BRAYE,00003042,2007/05/18 00:00:00+00,2007/05/22 00:00:00+00,450,636.5302124,1,4214930.38946362,9024.58797635161
21988,2007,CA,CDF,LNU,ROBINSON,00005400,2007/07/28 00:00:00+00,2007/07/30 00:00:00+00,128,121.54821777,1,818807.23187013,5647.22667916994
21989,2007,CA,CDF,LNU,WEST,00005195,2007/07/22 00:00:00+00,2007/07/22 00:00:00+00,40,36.99460983,1,247130.64318045,2734.77675291318
21990,2007,CA,LRA,LAC,GRIFFITH PARK,00000000,2007/05/08 00:00:00+00,,,747.89837646,1,4427910.24398191,15010.9203276013
21991,2007,CA,LRA,LAC,BARHAM,00000000,2007/03/30 00:00:00+00,2007/03/31 00:00:00+00,,224.32763672,1,1328555.59628855,6131.2393958422
21993,2007,CA,CCO,VNC,RABBIT HILL,00000000,2007/10/21 00:00:00+00,2007/10/21 00:00:00+00,,16.84096336,1,99854.82708048,1202.59608807524
21999,2007,CA,CCO,ORC,FREEMONT/IRVINE LAKE,00000000,2007/06/22 00:00:00+00,,,9.48876381,1,55752.10711546,1351.33282987462
22001,2007,CA,CCO,ORC,FREEWAY INCIDENT,00000000,2007/09/18 00:00:00+00,,,2.45462561,1,14373.4211111,917.11217626539
22002,2007,CA,CCO,ORC,CROWN VALLEY,00000000,2007/07/13 00:00:00+00,,,22.87266541,1,133680.42862635,2268.15087835612
