ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,Date,Genome_coverage,Assembly_method,Sequencing_technology,Assembly_type,Assembly_level,scaffold_N50,scaffold_count,total_length,gene_count,gene_length_mean,exon_count,exon_length_mean,CDS_count,CDS_length_mean,intron_count,intron_length_mean
GCA_019677225.1_ASM1967722v1,2733465,Absidia sp. ASU-2020a,UoMAU1,2021-08-18,50.0x,Velvet v. 7.0.4,Illumina HiSeq,haploid,Scaffold,33835,2625,43508936,0,0,0,0,0,0,0,0
GCA_000222935.2_AciTa_1.0,42363,Aciculosporium take,MAFF-241224,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Aciculosporium,Aciculosporium take,2011-08-03,18.5x,Newbler v. 2.5.3,454 GS FLX Titanium,haploid,Contig,,,58836405,0,0,0,0,0,0,0,0
GCA_020087035.1_ASM2008703v1,2778101,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,2021-09-21,100x,CLC NGS Cell v. June-2020,Illumina,haploid,Scaffold,951391,86,34452312,0,0,0,0,0,0,0,0
GCA_004216415.1_S18-22,2518135,Aeminium ludgeri,E14,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Capnodiales,,Aeminium,Aeminium ludgeri,2019-02-20,400.0x,dipSPADES v. 3.11.1,Illumina NextSeq,haploid,Scaffold,181365,228,22585551,0,0,0,0,0,0,0,0
GCA_003545705.1_ASM354570v1,245562,Acidomyces sp. 'richmondensis',FRIK2901,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis',2018-09-11,150.0x,Canu v. 1.6,PacBio; Illumina NextSeq,haploid,Contig,,,29347235,0,0,0,0,0,0,0,0
GCA_003707435.1_ASM370743v1,43968,Aciculoconidium aculeatum,NRRL YB-4298,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Aciculoconidium,Aciculoconidium aculeatum,2018-10-31,136x,SPADES v. 3.7,Illumina HiSeq 2500,haploid,Scaffold,218239,832,18235016,0,0,0,0,0,0,0,0
GCA_003314395.1_ASM331439v1,80570,Albatrellus ellisii,MG60,Basidiomycota,Agaricomycotina,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus ellisii,2018-07-11,67x,platanus version v. 1.2.1,Complete Genomics,haploid,Scaffold,18141,30562,122761634,0,0,0,0,0,0,0,0
GCA_001600555.1_JCM_11844_assembly_v001,1635095,Albophoma yamanashiensis,JCM 11844,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Ophiocordycipitaceae,Albophoma,Albophoma yamanashiensis,2016-03-01,325x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,4519820,66,31390562,0,0,0,0,0,0,0,0
GCA_019677255.1_ASM1967725v1,2735258,Absidia sp. UoMAU379,UoMAU379,2021-08-18,41.0x,Velvet v. 7.0.4,Illumina HiSeq,haploid,Scaffold,19150,5383,49417851,0,0,0,0,0,0,0,0
GCA_020081605.1_ASM2008160v1,1859699,Albifimbria verrucaria,IMI 368023,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria verrucaria,2021-09-21,171.0x,Flye v. 2.7-b1585,Oxford Nanopore MinION,haploid,Scaffold,5352524,62,48482211,0,0,0,0,0,0,0,0
GCA_009289805.1_ASM928980v1,644589,Alternaria gansuensis,LYZ1412,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria gansuensis,2019-10-23,22.0x,SOAPdenovo v. Mar-2017,Illumina,haploid,Contig,,,75051934,0,0,0,0,0,0,0,0
GCA_003314695.1_ASM331469v1,2175974,Albatrellus sp. MG142,MG142,Basidiomycota,Agaricomycotina,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus sp. MG142,2018-07-11,32x,platanus version v. 1.2.1,Complete Genomics,haploid,Scaffold,4375,50332,59385241,0,0,0,0,0,0,0,0
GCA_004936725.1_ASM493672v1,29911,Alternaria brassicae,J3,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicae,2019-05-08,46.0x,Canu v. 1.6,Oxford Nanopore MiniION,haploid,Chromosome,2988132,17,34141089,0,0,0,0,0,0,0,0
GCA_002952155.1_ASM295215v1,48100,Alternaria solani,NL03003,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria solani,2018-02-14,150.0x,HGAP v. October 2015,PacBio,haploid,Complete Genome,,,32779142,0,0,0,0,0,0,0,0
